pair_id,source_seed,source_run_dir,run_id,generation,model_name,example_id,A_branch,B_branch,qwen_winner,qwen_confidence,qwen_reason,qwen_judge_model,qwen_judge_label,qwen_repair_applied,qwen_repair_actions,qwen_winner_branch,qwen_anchor_win,qwen_pure_win,qwen_tie,judge_label,qwen_judge_model_failure,error_category,error_message
pair_0011,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_7144115b486054b0,pure_recycling,anchor_20_append,Tie,0,Both explanations are incorrect and contain fundamental errors in reasoning and calculations.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0012,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_8d09275ea3ae3059,anchor_20_append,pure_recycling,Tie,0,Both explanations are incorrect and contain significant errors in reasoning and terminology.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0013,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_d412115ae8330337,anchor_20_append,pure_recycling,A,2,"Explanation A correctly interprets the relationships, uses accurate arithmetic, and follows a logical step-by-step structure. Explanation B misrepresents the relationship between John and Rebeca (should be John = Rebeca - 6, not John = Rebeca + 6), leading to an incorrect result. This error makes B misleading despite its structured approach.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0014,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_f7344564aacafdad,anchor_20_append,pure_recycling,Tie,2,"Both explanations incorrectly assign Liam as selling 21 lemonades at $4, contradicting the gold answer where Liam made $63. Both fail pedagogically by misrepresenting the problem, leading to incorrect reasoning and conclusion.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0015,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_28ec77676c1c4336,anchor_20_append,pure_recycling,B,2,"Explanation B uses clearer formatting, includes units consistently, and structures steps with better visual separation, enhancing pedagogical clarity.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0016,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_90bb5c3febf609d1,anchor_20_append,pure_recycling,Tie,1,"Both explanations contain critical errors in interpreting the problem, leading to incorrect totals. A mislabels ride costs as food; B incorrectly divides ticket cost before summing. Neither matches the gold answer, but both attempt structured reasoning.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0017,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a1d02c8b1ef9543b,anchor_20_append,pure_recycling,Tie,0,"Both explanations contain critical errors and do not arrive at the correct answer; A incorrectly calculates Marcus's pencils, B incorrectly assumes the difference is 15 without proper calculation",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0018,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_da1dbc428f948f94,pure_recycling,anchor_20_append,B,1,"Explanation B attempts more structured steps and correct song length calculation, though incomplete; A has logical errors and incorrect rounding.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0019,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_05ae11a96390f2ab,pure_recycling,anchor_20_append,Tie,0,Both explanations contain critical errors in reasoning and do not match the gold answer; neither is pedagogically sound.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0020,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_e64ad5c3d9a8bdaf,anchor_20_append,pure_recycling,A,2,"Explanation A is clearer, uses consistent step structure, and avoids redundant calculations like multiplying by 1, which can confuse learners.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0021,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a399fe1ace987422,anchor_20_append,pure_recycling,Tie,1,Both explanations contain errors and fail to reach the correct answer; neither is pedagogically sound.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0022,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_1a9c79b890fd356d,pure_recycling,anchor_20_append,B,2,"Explanation B is better structured with clear labeled steps, uses consistent mathematical formatting, and explicitly states the equation before substituting values, enhancing clarity and pedagogical effectiveness.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0023,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_d5ec955dc644d718,anchor_20_append,pure_recycling,B,2,"Explanation B correctly identifies the gap and uses proper step-by-step reasoning; A incorrectly adds kangaroos together, leading to a wrong approach.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0024,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_751c6c44543e798e,anchor_20_append,pure_recycling,Tie,0,Both explanations are flawed and fail to correctly solve the problem. A is repetitive and unclear. B contains logical errors and contradictions. Neither matches the gold answer's reasoning.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0025,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a47c05c7e62cb32b,anchor_20_append,pure_recycling,B,2,"Both explanations are clear and logically sound, but Explanation B is more concise and avoids the misleading phrase '3 times younger' without overcomplicating. Explanation A incorrectly concludes Lucas will be 5 in three years, contradicting the correct math.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0026,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_2a0097448029d097,anchor_20_append,pure_recycling,B,2,"Explanation B correctly separates losses and gains, uses clear steps, avoids errors in logic, and aligns with the gold answer. Explanation A incorrectly includes 'found' pencils in the loss total, leading to a wrong calculation.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0027,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_d5240674d763f764,anchor_20_append,pure_recycling,A,2,"Explanation A is clearer with well-structured steps, plain language, and logical flow, making it more accessible for learners. Explanation B uses correct math but mistakenly says Ernesto drove 7 km more than Renaldo instead of one-third of Renaldo's distance, which is misleading.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0028,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_1272bd82df9a0426,anchor_20_append,pure_recycling,A,2,"Explanation A is clear, logically structured, uses correct arithmetic, and avoids errors. Explanation B contains a critical error by subtracting 21 from 8, resulting in a negative page count, which is nonsensical and misleading.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0029,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_924da94694f884fb,anchor_20_append,pure_recycling,Tie,1,Both explanations contain critical errors and do not correctly follow the logic of the gold answer; neither clearly or accurately computes Jack's second-half time by correctly subtracting his first-half time from his total time.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0030,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_6c366dad07104cd1,anchor_20_append,pure_recycling,Tie,2,"Both explanations are clear, well-structured, and use accurate reasoning with appropriate terminology. They differ only in minor wording, not in pedagogical quality.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0031,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_412759603546a32f,anchor_20_append,pure_recycling,Tie,2,"Both explanations contain critical errors and fail to reach the correct total of 211; A misinterprets relationships, B omits Mara's cards in final sum, making both pedagogically flawed.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0032,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_b996529edad3eb91,pure_recycling,anchor_20_append,A,2,"Explanation A uses clearer step structure, consistent mathematical formatting, and a proper boxed final answer, enhancing pedagogical clarity.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0033,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_c234d36d336bf4c3,anchor_20_append,pure_recycling,Tie,0,Both explanations are incorrect and misleading; neither arrives at the correct answer or reasoning.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0034,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_df4fa9a43d44f0c5,anchor_20_append,pure_recycling,B,2,"Explanation B is clear, uses correct units, avoids errors, and follows logical steps without introducing irrelevant or incorrect information like converting ounces to grams.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0035,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_101bd28cf06fe717,pure_recycling,anchor_20_append,A,2,"Explanation A is clearer, better structured, and uses consistent mathematical formatting. It explicitly labels each step, justifies calculations, and concludes with a boxed answer, enhancing pedagogical effectiveness.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0036,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_5cd356be0b8f7db2,pure_recycling,anchor_20_append,A,2,"Explanation A is clearer, correctly structured, and avoids the critical error in B of reversing the population difference to get a negative value. A uses proper step-by-step reasoning and correct terminology, making it more pedagogically effective.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0037,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_428cb13ac27f7473,anchor_20_append,pure_recycling,B,2,"Explanation B is clearer with structured steps, proper use of mathematical notation, and concludes with a boxed final answer, enhancing pedagogical effectiveness.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0038,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_0cd1a21f74e973df,anchor_20_append,pure_recycling,A,2,"Explanation A uses clearer step structure, consistent mathematical notation, and concise reasoning with proper formatting, making it more pedagogically effective than B.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0039,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_47e171858569bcf4,pure_recycling,anchor_20_append,Tie,2,Both explanations contain critical errors and fail to match the gold answer; neither correctly calculates total pamphlets.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0040,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_90bb5c3febf609d1,pure_recycling,anchor_20_append,Tie,1,"Both explanations contain critical errors in interpreting the problem, leading to incorrect calculations; neither matches the gold answer or correctly parses the ticket cost.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0041,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_3964a3274598c6ef,anchor_20_append,pure_recycling,B,2,"Explanation B is correct and clear, with accurate calculations and proper step structure. Explanation A incorrectly calculates the third ticket cost and total, leading to a wrong answer.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0042,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_8c5d9c0bacf906b8,pure_recycling,anchor_20_append,Tie,1,Both explanations have critical errors despite correct structure.,qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0043,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_bf487803990e3be6,pure_recycling,anchor_20_append,Tie,2,"Both explanations are clear, well-structured, and use correct reasoning with appropriate terminology. They both guide the learner step by step without ambiguity or misleading content.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0044,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_5b0b1ca6aa277d45,pure_recycling,anchor_20_append,B,2,"Explanation B correctly structures the problem per member first, uses accurate arithmetic, and aligns with the gold answer. Explanation A incorrectly calculates book costs by not accounting for per-member book fees across all members, leading to a wrong total.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,anchor_20_append,True,False,False,,,,
pair_0045,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_d412115ae8330337,pure_recycling,anchor_20_append,A,2,"Explanation A is clear, logically structured, uses correct equations, and arrives at the correct answer. Explanation B contains incorrect relationships and calculations, leading to a wrong result.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0046,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_a92dd71bbae21cb0,pure_recycling,anchor_20_append,A,2,"Explanation A is clearer, correctly applies the ratio, and avoids the critical error in B that misstates 2 tears per onion instead of per 3 onions.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,pure_recycling,False,True,False,,,,
pair_0047,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_d705ed110d67f6a9,anchor_20_append,pure_recycling,Tie,2,"Both explanations are clear, well-structured, and use consistent terminology and sound reasoning. They correctly break down the problem step by step and arrive at the right answer. No significant pedagogical difference exists between them.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
pair_0048,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_09ba9b7016fb4b6c,anchor_20_append,pure_recycling,Tie,1,"Both explanations contain critical errors and fail to correctly account for the loss, leading to wrong final answers despite structured reasoning.",qwen-3-235b-a22b-instruct-2507,qwen_pairwise,False,,Tie,False,False,True,,,,
