pair_id,source_seed,source_run_dir,run_id,generation,model_name,example_id,A_branch,B_branch,llama_winner,llama_confidence,llama_reason,llama_judge_model,llama_judge_label,llama_repair_applied,llama_repair_actions,llama_winner_branch,llama_anchor_win,llama_pure_win,llama_tie,judge_label,llama_judge_model_failure,error_category,error_message
pair_0011,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_7144115b486054b0,pure_recycling,anchor_20_append,A,2,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0012,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_8d09275ea3ae3059,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0013,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_d412115ae8330337,anchor_20_append,pure_recycling,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0014,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_f7344564aacafdad,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0015,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_28ec77676c1c4336,anchor_20_append,pure_recycling,A,1,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0016,71,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_90bb5c3febf609d1,anchor_20_append,pure_recycling,A,1,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0017,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a1d02c8b1ef9543b,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0018,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_da1dbc428f948f94,pure_recycling,anchor_20_append,B,1,clarity,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0019,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_05ae11a96390f2ab,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0020,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_e64ad5c3d9a8bdaf,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0021,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a399fe1ace987422,anchor_20_append,pure_recycling,A,2,"Explanation A is more clear and step structured, uses correct terminology and sound reasoning, and does not contain any misleading explanation.",llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0022,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_1a9c79b890fd356d,pure_recycling,anchor_20_append,B,2,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0023,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_d5ec955dc644d718,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0024,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_751c6c44543e798e,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0025,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a47c05c7e62cb32b,anchor_20_append,pure_recycling,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0026,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_2a0097448029d097,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0027,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_d5240674d763f764,anchor_20_append,pure_recycling,B,2,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0028,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_1272bd82df9a0426,anchor_20_append,pure_recycling,A,2,"Explanation A has a clear step-by-step structure, correct reasoning, and accurate final answer, while Explanation B contains a misleading calculation and incorrect final answer.",llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0029,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_924da94694f884fb,anchor_20_append,pure_recycling,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0030,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_6c366dad07104cd1,anchor_20_append,pure_recycling,A,2,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0031,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_412759603546a32f,anchor_20_append,pure_recycling,A,2,clarity,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0032,72,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_b996529edad3eb91,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0033,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_c234d36d336bf4c3,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0034,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_df4fa9a43d44f0c5,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0035,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_101bd28cf06fe717,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0036,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_5cd356be0b8f7db2,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0037,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_428cb13ac27f7473,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0038,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_0cd1a21f74e973df,anchor_20_append,pure_recycling,A,2,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0039,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_47e171858569bcf4,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0040,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_90bb5c3febf609d1,pure_recycling,anchor_20_append,A,2,"Explanation A is clearer and more concise, with a better step structure and fewer errors in calculation.",llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0041,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_3964a3274598c6ef,anchor_20_append,pure_recycling,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0042,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_8c5d9c0bacf906b8,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0043,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_bf487803990e3be6,pure_recycling,anchor_20_append,A,1,Explanation A uses more precise mathematical notation and is slightly more organized in its step structure.,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0044,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_5b0b1ca6aa277d45,pure_recycling,anchor_20_append,B,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
pair_0045,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_d412115ae8330337,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0046,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_a92dd71bbae21cb0,pure_recycling,anchor_20_append,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0047,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_d705ed110d67f6a9,anchor_20_append,pure_recycling,B,2,clarity and step structure,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,pure_recycling,False,True,False,,,,
pair_0048,73,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_09ba9b7016fb4b6c,anchor_20_append,pure_recycling,A,2,short,llama-3.1-8b,llama_pairwise,True,repair_reemit_attempt,anchor_20_append,True,False,False,,,,
